BeitragsID,Titel,Text,main_category_level1,URL,Erstellt,level2_unfavourable_switching,level2_new_traffic_light_addition,level2_remove_traffic_light,level2_lighting_is_missing,level2_faulty_lighting,level2_signage_of_cycle_path_missing_poorly_visible,level2_marking_of_cycle_path_missing_poorly_visible,level2_no_or_too_few_parking_facilities,level2_unsuitable_parking_facilities,level2_obstruction_due_to_stationary_objects,level2_cycle_path_permanently_parked,level2_cycle_path_often_blocked,level2_access_to_cycle_path_only_with_detour,level2_open_one-way_street_for_cycling,level2_check_mandatory_use_of_cycle_path,level2_safe_road_crossing_is_missing,level2_lack_of_visibility,level2_unclear_traffic_routing,level2_new_cycle_path,level2_cycle_path_use_in_both_directions,level2_set_up_road_with_priority_for_cycling,level2_speed_limit,level2_rule-adverse_behaviour,level2_unevenness_flaws_or_cracks,level2_too_narrow_width,level2_repeatedly_dirt_or_water_on_cycle_path,level2_passages_with_excessive_height_differences,level2_other_notices,level2_missing_local_reference,level2_deficiency_report,Dataset,level1_traffic_lights,level1_lighting,level1_signage,level1_bicycle_parking,level1_obstacles,level1_cycling_traffic_management,level1_cycle_path_quality,level1_misc
B1450,Behinderung des Durchgangsverkehrs (sowohl Radfaher als auch Passanten),drogenkonsumierende Jugendliche belagern/blockieren morgens diesen schmalen Durchgangsweg. Ggf. auch Sache der Polizei.,level1_cycling_traffic_management,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/behinderung-des-durchgangsverkehrs-sowohl-radfaher-als-auch-passanten,2017-09-13T10:00:28+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,0,0,0,0,0,1,0,0
B1451,Sehr träge Ampel; Rechtsabbieger-Ampel für Fahrräder?,"Vom Rosental kommend, darf man als Radfahrer hier gegen die Einbahnstraße rechts in die Kölnstraße abbiegen. Man muss aber dennoch an der Ampel warten, obwohl - bis auf gelegentliche Straßenbahnen - niemand interferiert. Hier wäre eine flexiblere Lösung sinnvoll - zumal die Ampel an dieser Kreuzung bonnweit eine der Ärgerlichsten ist, da man überdurchschnittlich oft grundlos warten muss.",level1_traffic_lights,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/sehr-traege-ampel-rechtsabbieger-ampel-fuer-fahrraeder,2017-09-13T10:05:36+02:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,0,0,0,0,0,0,0
B1452,Erreichbarkeit von Markt per Fahrrad gewährleisten,"Insbesondere der Markt, aber auch der Münsterplatz sowie einige , sollten auf legalem Wege mit dem Rad befahrbar sein. Im Moment meidet man mit dem Fahrrad eher großräumig die Innenstadt. Eine moderne Innenstadt sollte mit dem Fahrrad ohne Schieberei erreichbar sein. Ggf. könnte ein System aus unbekannten Straßen, die selten von Fußgänger genutzt werden (Acherstraße, Mauspfad, Giergasse, Konviktstraße), zu einem sinnvollen Radnetz umgebaut werden.",level1_cycling_traffic_management,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/erreichbarkeit-von-markt-fahrrad-gewaehrleisten,2017-09-13T10:09:56+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,1,0,0
B1453,Parkplätze für Fahrräder,"Für eine Stadt, die sich Fahrradstadt nennt, sind am Hauptbahnhof beschähmend wenige Fahrradparkplätze vorhanden. Und diese werden derzeit noch dezimiert.",level1_bicycle_parking,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/parkplaetze-fuer-fahrraeder,2017-09-13T10:48:52+02:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,1,0,0,0,0
B1454,Führung des Radverkehrs auf dem Fußweg,"Die Führung des Radverkehrs über den Fußweg und fehlende Beschilderung (auf beiden Seiten) führt immer wieder zu Missverständnissen, Auseinandersetzungen und gefährlichen Situationen.",level1_cycling_traffic_management,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fuehrung-des-radverkehrs-auf-dem-fussweg,2017-09-13T10:53:26+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,1,0,0
B1455,Neue Bahnunterführung UN Campus,"Die Unterführung mit den angrenzenden Radwegen ist ja noch nicht fertig. Bitte achten Sie darauf, dass Radfahrer die Unterführung und die Zufahrten problemlos und unterbrechungsfrei nutzen können - wenn sie dann mal fertig wird.",level1_cycling_traffic_management,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/neue-bahnunterfuehrung-un-campus,2017-09-13T11:08:10+02:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,1,0,0
B1456,Kappes Überholen durch Trennung der Fahrtrichtungen,"Am Kaiser-Karl-Ring wurden in Richtung Norden vor einigen Jahren die zwei Autospuren in eine Autospur, einen Schutzstreifen für Radfahrer und eine Auto-Parkspur umgewandelt. So radelt man jetzt zwischen parkenden und fahrenden (50 km/h) Autos auf ungefähr einem Meter Platz. Die Autofahrer können mir hier unmöglich die eigentlich nötigen 1,5 Meter Überholabstand geben, weil die beiden Fahrtrichtungen in der Mitte mit einem Grünstreifen getrennt sind. Dadurch werde ich immer knapp überholt und bin versucht, näher an den parkenden Autos zu fahren. Dort habe ich aber auch Angst, dass eine Autotür ohne Vorwarnung aufgerissen wird. Sehr begrüßen würde ich, wenn die Parkplätze entfernt werden würden und dafür eine sehr breite Fahrradspur eingerichtet würde. So kann man mit genügend Abstand zu fahrenden und parkenden Autos entlang fahren und auch mal zu zweit nebeneinander fahren und sich unterhalten. Die Entfernung des Grünstreifens und eine Verbreiterung der Fahrradspur wäre für die Radfahrer wohl eine Verbesserung, jedoch würde man weiterhin zwischen Autos fahren. Legt man den Parkstreifen in die Mitte der Spur und richtet den Radstreifen auf der rechten Seite ein, so hat man als Radfahrer nur auf der linken Seite mit eventuell öffnenden Türen zu rechnen.",level1_cycle_path_quality,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/kappes-ueberholen-durch-trennung-der-fahrtrichtungen,2017-09-13T11:18:26+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B,0,0,0,0,0,0,1,0
B1457,Radweg in der Autotür-Gefahrenzone,"Links neben dem Fahrradweg sind Parkplätze für Autos. Der Radweg ist ungefähr eine geöffnete Autotür breit, sodass öffnende Türen diesen direkt blockieren. Mir ist es schon einige Male passiert, dass ich hier auf den Gehweg ausweichen musste, weil jemand im Auto nicht gewartet hatte. Zu meiner eigenen Sicherheit bin ich daher eigentlich versucht auf dem Gehweg zu fahren und den Radweg als Sicherheitsabstand zu den Autos zu nehmen. Ebenfalls parken einige mit breiteren Autos auch teilweise auf dem Radweg, was das Problem verschärft.",level1_cycle_path_quality,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radweg-der-autotuer-gefahrenzone,2017-09-13T11:21:50+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B,0,0,0,0,0,0,1,0
B1458,Parkende Autos provozieren knappe Überholvorgänge,"In dieser Einbahnstraße parken auf der rechten Seite Autos in einer ganzen Parkspur, auf der linken Seite halb auf dem Gehweg. Dadurch ist die Spur nicht mehr breit genug, damit ein Auto einen Radfahrer mit 1,5 Metern Sicherheitsabstand überholen kann. Zu meiner Sicherheit als Radfahrer fahre ich daher in der Mitte, wurde allerdings auch schon angehupt. Entfernung der parkenden Autos würde hier helfen.",level1_obstacles,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/parkende-autos-provozieren-knappe-ueberholvorgaenge,2017-09-13T11:24:15+02:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,1,0,0,0
B1459,"Gehweg voller Autos, Schutzstreifen auf gefährlich schmaler Spur","Den Venusberg herauf fährt es sich an der Robert-Koch-Straße besser als auf der Trierer Straße. Dort fahre ich gerne auf dem Gehweg (Radfahrer frei), damit ich Abstand zu den fahrenden Autos habe. Dort parken allerdings viele Anwohner, sodass es manchmal mit einem Fahrrad sehr knapp wird. Daher muss ich dann fast absteigen, um keine Kratzer in den Autos riskieren. Auf der Fahrbahn im Schutzstreifen fahren empfinde ich als sehr stressig. Ich fahre dort nicht besonders schnell (10 km/h), während die Autos 30 km/h und später 50 km/h fahren dürfen. Die Breite der Spur ist gering, die Einsehbarkeit durch die Kurve sehr schlecht. Dadurch kommt es zu knappen Überholmanövern ohne 1,5 Meter Sicherheitsabstand. Beide Optionen sind nicht so überzeugend.",level1_cycle_path_quality,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/gehweg-voller-autos-schutzstreifen-auf-gefaehrlich-schmaler-spur,2017-09-13T11:27:50+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,B,0,0,0,0,0,1,1,0
B1460,Parkende Autos auf Radweg nach Südwest,"Der Schutzstreifen für Radfahrer führt an parkenden Autos vorbei auf den Geh-Radweg. Dort parken ständig Autos, sodass man als Radfahrer noch auf der Autospur fahren muss und anschließend die Bordsteinkante nehmen muss. Hier würde ich mir konsequente Strafzettel wünschen, damit diese Stelle frei befahrbar ist. Foto: http://blog.martin-ueding.de/_images/IMG_20170616_190615082_HDR.jpg",level1_obstacles,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/parkende-autos-auf-radweg-nach-suedwest,2017-09-13T11:30:36+02:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,1,0,0,0
B1461,Fahrradstraße ist eher »Autoparkstraße«,"Das nördlichste Stück der Ellerstraße ist eine Fahrradstraße und sollte daher hauptsächlich den Interessen der Radfahrer dienen. Jedoch sind links und rechts auf der Straße parkende Autos. Rechnet man mit öffnenden Autotüren, so muss man auf jeder Seite nochmal einen Meter der Spur abziehen. Es bleibt also nur noch eine schmale Gasse in der Mitte. Autofahrer scheinen auch ein Anrecht auf Überholen in einer Fahrradstraße zu vermuten, sodass hier ziemlich wenig gewonnen ist. Hier wünsche ich mir, dass die Parkplätze auf einer oder sogar beiden Seiten entfernt werden, damit man sich als Radfahrer hier auch ohne Angst zu zweit nebeneinander (ist ja erlaubt) unterhalten kann. Platzplätze gibt es auch schon auf dem Kaiser-Karl-Ring auf gleicher Höhe, dort ist der Radstreifen auch eher reingequetscht.",level1_obstacles,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradstrasse-ist-eher-autoparkstrasse,2017-09-13T11:34:21+02:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,1,0,0,0
B1462,Fortsetzung der Fahrradstraße,"Im Radwegeplan habe ich gesehen, dass die Ellerstraße nicht als Radweg fortgesetzt werden soll. Dabei wäre dies eine sinnvolle Alternative zum Hochstadenring und Kaiser-Karl-Ring für Radfahrer.",level1_cycling_traffic_management,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fortsetzung-der-fahrradstrasse,2017-09-13T11:35:40+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,1,0,0
B1463,Bessere Stellplätze bei DM/EDEKA/Conrad,"Das Gelände ist wahrscheinlich Privateigentum der Firmen, daher bitte ich hier auf Einflussnahme der Stadt auf die Firmen. Die Fahrradständer, die es vor den Geschäften gibt, sind ein paar Felgenkiller, die man mit Bügel- oder Faltschloss nicht nutzen kann. Außerdem ist mir mein Fahrrad zu schade, um es in einen solchen Ständer zu stellen. Es gibt ein zweistöckiges Parkhaus für Autos und noch einen großen Parkplatz. Ein gutes Duzend Anlehnbügel würden mir hier sehr gut gefallen.",level1_bicycle_parking,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/bessere-stellplaetze-bei-dmedekaconrad,2017-09-13T11:37:57+02:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,1,0,0,0,0
B1464,Sinnvolle Möglichkeit die Bahn zu überqueren,"Mir scheint, dass es keine angenehme Möglichkeit gibt, als Radfahrer die Bahn zu überqueren: - Die Victoriabrücke ist momentan für Radfahrer gesperrt. Davor bin ich auch nicht sonderlich gerne dort lang gefahren. - Die Unterführung, die die Straßenbahn nimmt, kann ich als Radfahrer ganz gut fahren. Allerdings nützt mir das nur, wenn ich Richtung Stadthaus möchte. Ist mein Ziel eher am Belderberg (z.B. Velo-City), so müsste ich von dort aus einmal die Fußgängerzone umfahren und den Cityring langfahren. Das ist zum einen ein Umweg, als auch unnötig gefährlich. - Die Fußgängerunterführung ist für Radfahrer nicht freigegeben, hier muss ich absteigen und schieben. Das geht zwar, allerdings kostet das nochmal etwas Zeit. Insbesondere zu Stoßzeiten kann dies recht lange dauern. - Der Bahnübergang an der Kaiserstraße/Nassestraße ist mit der für Radfahrer freigegebenen Unterführung ganz angenehm zu nutzen. Auf der Strecke von der Colmandtstraße dorthin muss ich allerdings an Straßenbahnschienen entlangfahren, auch nicht ungefährlich. Von dort bis Velo-City ist es allerdings auch wieder ein Umweg. - Die Fußgängertreppe in der Nähe der Südüberbauung ist für Radfahrer natürlich ungeeignet. - Am Probsthof ist meine aktuelle Route, wenn ich in die Nordstadt möchte. Für Erledigungen in der Innenstadt ist das aber zu viel Umweg. Eine Möglichkeit am ZOB rechts abzubiegen (zum Kaiserplatz) würde es deutlich einfacher machen.",level1_misc,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/sinnvolle-moeglichkeit-die-bahn-zu-ueberqueren,2017-09-13T11:47:53+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B,0,0,0,0,0,0,0,1
B1465,Riesige Pfützen auf Radweg,Bei bzw. nach Regen wird an mehreren Stellen der Adenauerallee der Fahrradweg zur Seenlandschaft.,level1_cycle_path_quality,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/riesige-pfuetzen-auf-radweg,2017-09-13T11:54:11+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,0,0,0,0,0,0,1,0
B1466,Radverbot auf der Viktoriabrücke,"Den Umgang mit den Radfahrern im Rahmen der Baumaßnahmen auf der Viktoriabrücke empfinde ich, mit Verlaub, als Frechheit. Die Spuren mussten natürlich schmaler gemacht werden, damit die Brücke teilweise abgerissen werden kann. Dadurch können Autofahrer aber nicht mehr mit den nötigen 1,5 Metern Sicherheitsabstand überholen. Einige Autofahrer haben einfach ohne Sicherheitsabstand überholt. Wegen der Gefährdung durch die Autofahrer wurden dann die Radfahrer von der Straße verbannt. Hier hätte ich mir gewünscht, dass durch die Verkehrspolizei streng kontrolliert würde und dann entsprechend viele Strafzettel verteilt werden. Die Botschaft erscheint mir fatal: »Wenn sich der Stärke danebenbenimmt, muss der Schwächere zu seinem eigenen Schutz weichen«. Jetzt hat man als Radfahrer Richtung Nordstadt folgende Alternativen: Am Probsthof oder durch die Unterführung am ZOB zu fahren. Beides sind Umwege. Möchte man weiterhin auf der Viktoriabrücke fahren, muss man mehrfach die Straßenseite per Ampel wechseln. Hätte man auf der Viktoriabrücke nur eine Autospur (Einbahnstraße oder Baustellenampel) eingerichtet und zwei Radspuren, wäre das Geschrei der Autofahrer groß. Dabei hätte man hier ein starkes Signal zur »Fahrradstadt Bonn« setzen können und Bürger zum Radfahren motivieren können, weil Radfahren dann besser als Autofahren gewesen wäre.",level1_cycling_traffic_management,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radverbot-auf-der-viktoriabruecke,2017-09-13T11:54:38+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,1,0,0
B1467,Zwei Straßenwechseln auf einigen hundert Metern,"Von Ippendorf Richtung Innenstadt soll man anscheinend auf Höhe der »Burggartenstraße« einmal links abbiegen und auf dem Radweg auf der Gegenseite fahren. An der Kreuzung zu »Am Botanischen Garten« soll man mit der Ampel wieder auf die Fahrbahn wechseln. Dies kostet deutlich mehr Zeit als einfach auf der Straße zu bleiben. Da dieser Abschnitt der Clemens-August-Straße notorisch mit Lieferverkehr und brötchenholenden SUVs zugeparkt ist, kommt man hier nur schwer lang. Die Alternative ist Sebastianstraße <U+2192> Carl-Troll-Straße <U+2192> Katzenburgweg <U+2192> Nußallee <U+2192> Meckenheimer Allee. Dadurch muss ich aber auch oft links abbiegen und am Ende sogar noch ohne Ampel links auf eine vorfahrtsberechtigte Straße abbiegen. Das dauert nochmal länger und ist auch nicht so sinnvoll.",level1_cycling_traffic_management,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/zwei-strassenwechseln-auf-einigen-hundert-metern,2017-09-13T11:59:41+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,1,0,0
B1468,Viele Baumwurzeln erzeugen Unebenheiten / Schmaler Geh-/Radweg,Der Geh-/Radweg parallel zur Ennemoserstraße ist recht schmal und dann auch noch durch diverse Baumwurzeln uneben. So kann man dort nicht wirklich zügig fahren.,level1_cycle_path_quality,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/viele-baumwurzeln-erzeugen-unebenheiten-schmaler-geh-radweg,2017-09-13T12:02:42+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B,0,0,0,0,0,0,1,0
B1469,Verwirrte Fußgänger auf Radweg,"An dieser Stelle spaltet sich der Geh-/Radweg in einen reinen Gehweg (Norden) und Radweg (Süden) auf. Der Radweg ist recht schmal. Regelmäßig verirren sich Fußgänger auf den Radweg, wodurch man bei Gegenverkehr auch nicht überholen kann.",level1_cycle_path_quality,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/verwirrte-fussgaenger-auf-radweg,2017-09-13T12:05:08+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B,0,0,0,0,0,0,1,0
B1470,Kennzeichung des Radweges,"Um ständige Konflikte mit Fußgängern zu vermeiden könnte eine Markierung auf dem Boden helfen. rechts Fußgänger, links Radfahrer.",level1_signage,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/kennzeichung-des-radweges,2017-09-13T12:09:07+02:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,1,0,0,0,0,0
B1471,Ständig Mofas im Meßdorfer Feld,"Seit Jahren treffe ich bei den meisten Spaziergängen im Meßdorfer Feld Mofafahrer an. Somit fährt da vielleicht ein Fahrer pro Stunde durch. Die Fahrer überqueren meist an gekennzeichneter Stelle die Bahn und fahren dann entweder den Heerweg, Steinweg oder »Am Bleichgraben« entlang. Das Ordnungsamt hat einmal die Schilder an den Zufahrtswegen überprüft, überall stehen in der Tat Verbotsschilder. Teilweise hupen die Fahrer sogar, wenn man nicht rechtzeitig den Feldweg freimacht. Ich wünsche mir hier eine sinnvolle Kontrolle, sodass man im Meßdorfer Feld nicht von stinkenden Mofas knapp überholt wird.",level1_cycling_traffic_management,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/staendig-mofas-im-messdorfer-feld,2017-09-13T12:09:44+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,0,0,0,0,0,1,0,0
